doc ID,topic pairs
10.1107/S1600536812020089,"[(37, 0.7328231543201469), (1, 0.2313336840119119)]"
10.1107/S1600536812020259,"[(7, 0.971104807400691)]"
10.1107/S1600536812022702,"[(4, 0.9483760076532618)]"
10.1107/S1600536812023495,"[(3, 0.6510135984643759), (26, 0.29137565829094336)]"
10.1107/S1600536811019209,"[(1, 0.8034129150349225), (18, 0.1548098881862604)]"
10.1107/S1600536812023732,"[(1, 0.9535908728808025)]"
10.1107/S1600536812024178,"[(75, 0.941954433214962)]"
10.1107/S1600536812021964,"[(20, 0.9646280201768793)]"
10.1107/S1600536812018806,"[(7, 0.6031718674499305), (0, 0.3584803590932526)]"
10.1107/S1600536812021769,"[(70, 0.923568771854254)]"
10.1107/S1600536812018491,"[(94, 0.5406099142976254), (3, 0.3779243114893949)]"
10.1107/S0907444909023051,"[(4, 0.8598777358744131)]"
10.1107/S1600536812022258,"[(36, 0.7047269405987224), (0, 0.25802110853955784)]"
10.1107/S160053681201358X,"[(84, 0.7652363181259335), (0, 0.1943053587203898)]"
10.1107/S0907444911050712,"[(28, 0.9752069037853118)]"
10.1107/S1600536812015450,"[(16, 0.9102193427589645)]"
10.1107/S1600576714024005,"[(99, 0.973754995527775)]"
10.1107/S1600536813002985,"[(1, 0.9576264492521686)]"
10.1107/S1600536813003711,"[(67, 0.7120284247340477), (1, 0.19096164201043384)]"
10.1107/S160053681300425X,"[(40, 0.3292121637791334), (24, 0.29441935068314895), (7, 0.29295332410363234), (0, 0.05204199724420871)]"
10.1107/S1600536812016959,"[(30, 0.9338109308516156)]"
10.1107/S1600536813002900,"[(75, 0.9480644928762014)]"
10.1107/S1600536812016194,"[(8, 0.9481740665089023)]"
10.1107/S1600536812017345,"[(77, 0.9095263791644802)]"
10.1107/S0108768196003813,"[(132, 0.9737537446887842)]"
10.1107/S1600536812014110,"[(40, 0.4792888933894783), (17, 0.45968334947380624)]"
10.1107/S160053681300216X,"[(108, 0.9447511345732659)]"
10.1107/S1600536812018193,"[(16, 0.9570609139687611)]"
10.1107/S1600536812017953,"[(29, 0.9451573274288099)]"
10.1107/S0907444911039655,"[(95, 0.9689353513191892)]"
10.1107/S1600536812016935,"[(0, 0.5030032198410668), (137, 0.4397685872524197)]"
10.1107/S0021889890011153,"[(67, 0.5800421063265768), (85, 0.39744382112665244)]"
10.1107/S2053273315022500,"[(81, 0.973158067447098)]"
10.1107/S2053273316002096,"[(132, 0.5013211490868954), (1, 0.012704166399941817), (0, 0.011871105978059437)]"
10.1107/S0907444905007894,"[(147, 0.9706271919243785)]"
10.1107/S0907444905007948,"[(115, 0.9616424726269381)]"
10.1107/S0021889890013097,"[(140, 0.916907512235849)]"
