prob,topic,docID
0.9447511345732659,108,10.1107/S160053681300216X
0.9570614200897141,16,10.1107/S1600536812018193
0.9451573276819148,29,10.1107/S1600536812017953
0.9689353513137324,95,10.1107/S0907444911039655
0.48905835835447353,0,10.1107/S1600536812016935
0.4537134487390129,137,10.1107/S1600536812016935
0.4702957382079686,67,10.1107/S0021889890011153
0.33288345993382107,85,10.1107/S0021889890011153
0.1498487172199728,143,10.1107/S0021889890011153
0.02451202062900256,149,10.1107/S0021889890011153
0.9731580676089658,81,10.1107/S2053273315022500
0.011871105978059444,0,10.1107/S2053273316002096
0.012704166399941815,1,10.1107/S2053273316002096
0.5013211490809083,132,10.1107/S2053273316002096
0.9706271919243785,147,10.1107/S0907444905007894
0.9616424726269385,115,10.1107/S0907444905007948
0.9169075521837785,140,10.1107/S0021889890013097
0.9416633028489368,28,10.1107/S0021889890012365
0.9680496736105612,10,10.1107/S0021889803022052
0.96334901350557,15,10.1107/S0021889803024415
0.9698369956788851,90,10.1107/S0021889803026670
0.9697845644304651,140,10.1107/S010876731003446X
0.9502095276850688,83,10.1107/S0108767310034471
0.9836641713364123,63,10.1107/S0108767388012243
0.964439383250338,117,10.1107/S0021889890010822
0.9112492919900684,0,10.1107/S1600536811022112
0.941629825358959,36,10.1107/S1600536811022756
0.6273952372637066,3,10.1107/S1600536811023282
0.32871889885380345,4,10.1107/S1600536811023282
0.945856018487744,1,10.1107/S1600536811023142
0.2771833093021187,23,10.1107/S1600536811024512
0.34757211871865873,104,10.1107/S1600536811024512
0.32095839700590467,147,10.1107/S1600536811024512
0.9552439337381863,3,10.1107/S1600536812051720
0.6479870160449572,3,10.1107/S1600536812051811
0.3059171738339671,17,10.1107/S1600536812051811
0.9240317516041039,16,10.1107/S1600536812051938
0.9023741950761874,0,10.1107/S1600536811024111
0.23762388094574646,16,10.1107/S1600536812050398
0.7154903812536704,111,10.1107/S1600536812050398
0.9104872526839142,3,10.1107/S1600536811020563
0.5058978060391127,0,10.1107/S1600536811023609
0.09722592900609311,17,10.1107/S1600536811023609
0.3471039723265377,23,10.1107/S1600536811023609
0.9593225921648381,0,10.1107/S1600536811020745
0.9586740984536631,42,10.1107/S1600536811021040
0.9423019247905606,4,10.1107/S1600536811020459
0.9419978202442311,23,10.1107/S1600536811021489
0.9299388679851458,4,10.1107/S1600536811021416
0.3232268711237051,2,10.1107/S1600536811023464
0.28395327954156596,56,10.1107/S1600536811023464
0.33836849757889365,128,10.1107/S1600536811023464
0.9651931547428451,1,10.1107/S1600536813000354
0.9602865585109693,30,10.1107/S1600536813000366
0.945763456219784,0,10.1107/S1600536811021684
0.6024831853726444,1,10.1107/S1600536811021623
0.33355422111419336,12,10.1107/S1600536811021623
0.9482004674252374,11,10.1107/S1600536811025098
0.9529445176476085,6,10.1107/S0108270110009285
0.8755378350537456,117,10.1107/S0108767392008365
0.9505730911203418,22,10.1107/S0108767304005884
0.8759972752866171,41,10.1107/S1600536800020316
0.2247320148929606,7,10.1107/S1600536809030281
0.732865995379128,98,10.1107/S1600536809030281
0.40649628985574154,3,10.1107/S1600536809030724
0.5189282952899122,12,10.1107/S1600536809030724
0.9412935471360363,146,10.1107/S0909049502005472
0.9752205292929957,2,10.1107/S0021889880011429
0.5961512003516389,3,10.1107/S1600536800017876
0.3227262502441726,14,10.1107/S1600536800017876
0.8026450729308696,75,10.1107/S1600536800019607
0.9660623752096356,11,10.1107/S1600536809030037
0.9602731026066027,68,10.1107/S0108767392013126
0.9103602676624684,23,10.1107/S1600536806001978
0.9686688591496434,7,10.1107/S010827011000572X
0.8594012687256442,11,10.1107/S1600536806002261
0.9105280800981379,11,10.1107/S1600536806001401
0.9732546863191516,15,10.1107/S0108767392005841
0.9380096332418674,64,10.1107/S0108767392006342
0.6681677376086412,31,10.1107/S1600536813016218
0.9635241763794976,12,10.1107/S0909049595009782
0.9390880207999925,1,10.1107/S1600536805042960
0.3404601199341513,0,10.1107/S1600536806001036
0.5909944154784184,17,10.1107/S1600536806001036
0.9449932072962279,71,10.1107/S1600536813016048
0.9765026765048488,25,10.1107/S0108270110026892
0.8769134079719488,8,10.1107/S1600536805042844
0.2094576011420264,1,10.1107/S1600536813016310
0.7485078437334036,82,10.1107/S1600536813016310
0.9845504721998142,19,10.1107/S0108270110024601
0.9170611806645755,105,10.1107/S1600536806000043
0.4472504497859152,0,10.1107/S1600536813016577
