synset_id,word,sense_number,42310,words,worded,wording,,,,,,,
200510844,take,5,172773,took,taken,taking,takes,,,,,,
200530860,evolve,3,2029,evolved,evolving,evolves,,,,,,,
200578275,learn,1,18776,learned,learning,learnt,learns,,,,,,
202147191,get,1,212569,got,getting,gets,gotten,,,,,,
202222264,win,2,26459,won,winning,wins,,,,,,,
202614178,acquire,4,6677,acquired,acquiring,acquires,,,,,,,
200874318,exonerate,1,98,exonerated,exonerates,exonerating,,,,,,,
202443169,deport,1,250,deported,deporting,deports,,,,,,,
200010141,do,9,535646,did,does,done,doing,du,d',,,,
200013302,play,8,45100,played,playing,plays,,,,,,,
201060866,act,4,37913,acts,acting,acted,,,,,,,
201670298,represent,10,15334,represented,represents,representing,,,,,,,
201670899,roleplay,1,17,roleplays,roleplayed,,,,,,,,
201672516,pretend,2,2631,pretending,pretended,pretends,,,,,,,
202296591,move,8,45409,moved,moving,moves,,,,,,,
202346017,act,8,37913,acts,acting,acted,,,,,,,
202450309,work,3,126290,working,worked,works,wrought,,,,,,
202664521,act,6,37913,acts,acting,acted,,,,,,,
202505162,sue,1,3051,sued,suing,sues,sueing,,,,,,
200184194,activate,2,1391,activated,activating,activates,,,,,,,
200184398,activate,5,1391,activated,activating,activates,,,,,,,
200184511,aerate,2,48,aerated,aerating,aerates,,,,,,,
200184732,activate,3,1391,activated,activating,activates,,,,,,,
201596973,trip,4,6229,trips,tripped,tripping,,,,,,,
200955644,actualize,2,45,actualized,actualizing,actualizes,,,,,,,
201598026,substantiate,3,311,substantiated,substantiating,substantiates,,,,,,,
201603134,propel,2,433,propelled,propelling,propels,,,,,,,
200381294,acuminate,1,acuminates,acuminating,acuminated,,,,,,,,
200144751,conform,2,1219,conforms,conforming,conformed,,,,,,,
200176022,add,1,26839,added,adding,adds,,,,,,,
200620414,add,4,26839,added,adding,adds,,,,,,,
200918069,total,2,18443,totalling,totalled,totals,,,,,,,
200994154,supply,4,16760,supplied,supplies,supplying,,,,,,,
202257242,lend,1,2855,lent,lending,lends,,,,,,,
202664698,add,6,26839,added,adding,adds,,,,,,,
201129306,hook,9,2464,hooked,hooks,hooking,,,,,,,
200203265,addle,2,10,addled,addles,addling,,,,,,,
200600235,puddle,8,320,puddles,puddling,puddled,,,,,,,
200451628,address,10,11738,addressed,addresses,addressing,,,,,,,
200867918,address,1,11738,addressed,addresses,addressing,,,,,,,
200956921,speak,4,24671,spoke,speaking,spoken,speaks,spake,,,,,
200958514,direct,12,15825,directed,directing,directs,,,,,,,
201000250,treat,4,12213,treated,treating,treats,,,,,,,
201115482,address,4,11738,addressed,addresses,addressing,,,,,,,
201124987,address,5,11738,addressed,addresses,addressing,,,,,,,
202184122,address,7,11738,addressed,addresses,addressing,,,,,,,
202524642,call,22,60726,called,calls,calling,,,,,,,
201407956,adduct,1,86,adducts,adducted,adducting,,,,,,,
200473111,adhere,2,789,adhered,adhering,adheres,adhereing,,,,,,
201183957,stick,15,8255,stuck,sticks,sticking,,,,,,,
201316841,stick,4,8255,stuck,sticks,sticking,,,,,,,
202560162,stick,8,8255,stuck,sticks,sticking,,,,,,,
202560377,stick,7,8255,stuck,sticks,sticking,,,,,,,
202638248,adhere,1,789,adhered,adhering,adheres,adhereing,,,,,,
200176999,adjoin,3,321,adjoining,adjoins,adjoined,,,,,,,
201169130,touch,5,12129,touched,touching,touches,,,,,,,
200353067,recess,3,393,recesses,recessed,recessing,,,,,,,
202355336,withdraw,8,4602,withdrawn,withdrew,withdrawing,withdraws,,,,,,
200795481,hold,24,49105,held,holding,holds,,,,,,,
200675647,settle,2,7179,settled,settling,settles,,,,,,,
202426544,try,3,54222,trying,tried,tries,,,,,,,
200730529,adjure,2,12,adjured,adjuring,adjures,,,,,,,
200734730,press,13,17116,pressed,pressing,presses,,,,,,,
200287086,set,22,53101,sets,setting,,,,,,,,
200288920,adjust,4,2731,adjusted,adjusting,adjusts,,,,,,,
200451262,aline,1,alines,alining,alined,,,,,,,,
200676072,adjust,5,2731,adjusted,adjusting,adjusts,,,,,,,
202228987,admeasure,1,admeasures,admeasuring,admeasured,,,,,,,,
200078744,dispense,3,762,dispensed,dispensing,dispenses,,,,,,,
202228378,lot,2,lots,,,,,,,,,,
202242712,administer,2,1857,administered,administering,administers,,,,,,,
202358802,administrate,1,12,administrating,administrates,administrated,,,,,,,
201774722,admire,1,2063,admired,admiring,admires,,,,,,,
202102849,admire,2,2063,admired,admiring,admires,,,,,,,
202376377,include,4,35004,included,includes,including,,,,,,,
202427748,intromit,1,intromits,intromitting,intromitted,,,,,,,,
